0,14.4	
1,14.3	
2,14.3	
3,14.3	
4,14	
5,14	
6,14.8	
7,16.9	
8,18.7	
9,20.2	
10,21.1	
11,21.6	
12,22.1	
13,22	
14,21.7	
15,21.1	
16,19.8	
17,18.5	
18,13.6	
19,12.8	
20,12.9	
21,12.9	
22,12.6	
23,12.3
